State,"Number
of Participating
Agencies ","Population
Covered ",Person Offenses Total,"Assault
Offenses","Homicide
Offenses","Human
Trafficking
Offenses","Kidnapping/
Abduction","Sex
Offenses",Property Offenses Total,Arson,Bribery,"Burglary/
Breaking
& Entering","Counterfeiting/
Forgery","Destruction/
Damage/
Vandalism ",Embezzlement,"Extortion/
Blackmail","Fraud
Offenses","Larceny/
Theft
Offenses","Motor
Vehicle
Theft",Robbery,"Stolen
Property
Offenses",Society Offenses Total,"Animal
Cruelty","Drug/
Narcotic
Offenses","Gambling
Offenses","Pornography/
Obscene
Material","Prostitution
Offenses","Weapon
Law
Violations"
Massachusetts,376,"6,937,375","72,253","67,351",153,41,582,"4,126",134009,311,15,9582,2322,29644,346,608,24521,55528,6819,2618,1695,15412,206,10120,76,900,200,3910
Michigan,618,"9,785,364","161,963","148,483",870,42,922,"11,646",232118,1472,17,19990,2457,47250,1608,604,34204,94082,21283,4014,5137,47520,675,27302,40,1091,715,17697
Minnesota,411,"5,699,338","50,619","44,593",276,105,640,"5,005",189416,724,5,14430,4017,35062,197,205,22930,88623,14562,3996,4665,38135,379,29660,26,966,103,7001
Mississippi,137,"1,673,199","23,436","22,153",173,3,105,"1,002",47697,185,5,6125,927,8779,750,53,4528,21874,3059,465,947,20233,185,17672,20,204,33,2119
Missouri,477,"5,885,677","84,290","77,897",641,43,966,"4,743",205063,1106,10,17370,4166,40555,545,116,13960,97843,22462,3596,3334,66992,387,55939,25,672,175,9794
Montana,106,"1,098,323","15,993","13,975",39,2,297,"1,680",35096,205,2,2530,773,8147,55,5,2210,17442,2967,289,471,6103,153,5607,3,24,23,293
Nebraska,267,"1,471,365","17,001","15,158",47,19,162,"1,615",36284,182,6,2342,977,9922,135,130,4784,15465,1750,240,351,16597,82,14908,0,264,58,1285
Nevada,56,"3,130,107","67,066","61,689",245,218,898,"4,016",115149,407,18,12406,1585,21572,1172,267,13578,45412,13703,2312,2717,30287,280,21492,54,588,1915,5958
New Hampshire,208,"1,355,329","14,803","12,764",23,9,217,"1,790",27923,108,3,957,629,7353,118,143,5334,11534,892,181,671,7289,167,5945,2,697,27,451
New Jersey,177,"3,844,336","17,728","16,532",140,2,85,969,51188,93,1,3114,1245,6052,125,201,10330,23380,5079,1243,325,4957,28,3497,2,24,82,1324
New Mexico,42,"1,285,483","28,139","25,449",193,12,822,"1,663",68916,230,38,7249,593,15760,411,91,8583,25657,7316,2029,959,8402,76,5638,0,150,22,2516
New York,124,"3,719,239","36,803","34,355",125,4,569,"1,750",85284,394,5,5305,998,22160,25,155,10025,39528,4082,1520,1087,6720,1,4826,5,137,15,1736
North Carolina,387,"9,859,219","143,884","134,322","1,020",60,"1,814","6,668",337746,1420,11,36508,4324,61076,1913,816,43312,158155,18779,5840,5592,111936,574,90542,75,1820,255,18670
North Dakota,112,"774,948","13,075","11,803",28,7,116,"1,121",26333,105,3,2983,579,4843,99,84,3032,11598,2085,191,731,13892,119,12803,5,246,40,679
Ohio,596,"10,536,226","154,750","144,022",842,28,"1,922","7,936",288592,1012,18,27867,2604,60964,138,500,34274,131168,19393,6613,4041,74351,322,57367,15,1288,552,14807
Oklahoma,452,"3,965,482","62,154","56,383",346,27,732,"4,666",150315,834,13,20469,3102,22946,1912,420,15471,64803,15256,1772,3317,33260,194,26527,1,938,228,5372
Oregon,208,"4,093,590","40,502","36,127",242,38,493,"3,602",172886,1402,11,13278,2642,36405,238,226,16021,79546,19241,2498,1378,15389,462,8316,1,487,304,5819
Pennsylvania,40,"2,173,050","31,764","29,675",548,16,68,"1,457",75149,544,3,4690,276,15707,170,112,10492,31604,7344,3886,321,10321,60,5890,15,107,69,4180
Rhode Island,47,"1,094,546","9,192","8,268",40,5,56,823,24698,95,4,1542,495,6065,99,64,3561,10398,1635,278,462,3904,44,2556,7,352,8,937
South Carolina,411,"5,112,587","93,278","87,692",605,26,"1,032","3,923",191881,677,11,18353,3522,34272,774,269,20095,93193,13937,2516,4262,58770,379,48001,47,959,99,9285
South Dakota,110,"824,054","13,290","11,942",46,8,139,"1,155",21932,72,5,2024,580,4306,183,23,1732,10572,1959,169,307,11866,30,10688,14,242,33,859
Tennessee,437,"6,968,993","146,650","137,869",761,108,"2,144","5,768",241615,936,24,22517,4597,45554,1430,609,25247,112912,20142,4924,2723,105759,571,88169,35,950,407,15627
Texas,"1,007","28,865,719","465,503","435,319","2,370",549,"3,102","24,163",946717,2921,112,91628,18646,165521,2394,775,98477,452357,87047,22438,4401,220310,2952,175637,449,4903,2860,33509
Utah,126,"3,188,815","37,427","31,081",98,64,"1,050","5,134",107749,256,7,6968,1812,23747,82,309,12751,50959,7960,1038,1860,43979,116,39435,1,535,134,3758
Vermont,88,"645,570","4,045","3,589",15,4,76,361,13817,43,0,1129,179,3249,59,17,1455,7006,450,65,165,1386,28,1169,1,81,10,97
Virginia,411,"8,640,726","102,759","94,446",666,62,"1,738","5,847",221013,647,30,10464,3489,47560,1569,814,36400,104537,11248,2929,1326,53228,1185,35386,15,2084,373,14185
Washington,248,"7,700,987","82,643","75,137",361,59,"1,252","5,834",357551,1587,11,39475,3560,77062,140,718,24008,164309,35326,5680,5675,16024,299,9325,25,619,314,5442
West Virginia,247,"1,575,083","14,435","12,807",107,62,168,"1,291",30705,237,4,3344,663,5807,101,13,2615,15198,1797,198,728,13520,25,11512,2,498,49,1434
Wisconsin,323,"5,423,821","48,549","42,121",401,80,971,"4,976",131390,474,0,9298,2005,25830,540,275,15565,57234,15950,2648,1571,60506,309,45779,5,1752,324,12337
Wyoming,47,"450,309","5,867","5,202",33,13,68,551,10750,52,1,1056,174,2577,9,60,896,5005,851,47,22,4094,75,3750,0,95,17,157
